#TAXONOMY,Domain,Phylum,Class,Order,Family,Genus,Species
ASV224,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
ASV225,k__Fungi,,,,,,
ASV226,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__Mycosphaerella_tassiana
ASV227,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,,,
ASV228,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
ASV229,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
ASV230,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Corticiales,f__Vuilleminiaceae,g__Vuilleminia,s__Vuilleminia_comedens
ASV231,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,,,
ASV232,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
ASV233,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus,s__Aspergillus_penicillioides
ASV234,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
ASV235,k__Fungi,,,,,,
ASV236,k__Fungi,p__Ascomycota,,,,,
ASV237,k__Fungi,p__Basidiomycota,c__Tremellomycetes,o__Trichosporonales,f__Trichosporonaceae,,
ASV238,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
ASV239,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
ASV240,k__Fungi,,,,,,
ASV241,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
