#OTU ID	F1_06	F1_12	F1_18	F5_06	F5_12	F5_18	M6_06	M6_12	M6_18	M2_12	M2_18	M3_06	M3_12	M3_18	F2_06	F2_12	F3_06	F3_12	F3_18	M4_06	M4_12	M4_18	F4_06	F4_12	M5_06	M5_12	M5_18	M1_06	M1_12	M1_18
ASV33	0.0	0.0	0.0	8149.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	13.0	2.0	0.0	7.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	15.0	0.0	2.0	0.0	0.0
ASV87	0.0	0.0	0.0	512.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV38	0.0	0.0	0.0	1872.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV56	0.0	0.0	0.0	217.0	0.0	0.0	90.0	0.0	12.0	87.0	0.0	158.0	299.0	0.0	0.0	1.0	44.0	0.0	0.0	0.0	0.0	0.0	286.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
ASV26	0.0	0.0	0.0	8.0	0.0	0.0	0.0	9.0	0.0	3.0	44.0	0.0	5859.0	54.0	0.0	0.0	86.0	20.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	191.0	0.0	0.0	0.0	1.0
ASV32	0.0	0.0	0.0	0.0	5717.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV77	0.0	0.0	0.0	0.0	1049.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV48	0.0	0.0	0.0	0.0	4204.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	311.0	0.0	1.0	0.0	0.0
ASV15	0.0	0.0	0.0	0.0	252.0	18055.0	0.0	0.0	1.0	15.0	0.0	0.0	0.0	1.0	1623.0	2876.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	356.0	0.0	0.0
ASV121	0.0	0.0	0.0	0.0	239.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ASV49	0.0	0.0	0.0	0.0	362.0	1958.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0
ASV148	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ASV90	0.0	0.0	0.0	0.0	539.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	101.0
ASV10	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	39701.0	0.0	0.0	0.0	0.0	0.0
